,0
0,look  marikina citi police  nagsagawa ng uniti bike ride para sa isang mapayapang via
1,paalala sa lahat 
2,bacolod citi health office  hindi maglalagay ng vaccin site sa mga poll area sa lunes  may araw ng eleksyon via fritzi inventor  barangay fm bacolod
3,final remind elect day 
4,istipleran daw ang semud sa dli ka hulat 
5,mga cluster precinct sa palawan na nagkaroon ng aberya ang mga vote count machin  vcm   mule magsasagawa ng final test  amp  seal ngayong araw  via junfr calamba  super radyo palawan
6,aminin natin  du   landslid high hope him  leni win landslid know na hope her  ginagawa nya na past years 
7,mahigit pulis  ipakakalat sa iba t ibang lugar sa region sa may araw ng eleksyon  via jame plecis  super radyo gener santo citi
8,mga vote count machin  vcm  sa bongao  tawi tawi  walang nage aberya sa isinagawang final test  amp  sealing  via gamar aukasa  cmn tawi tawi
9,dalawang vote count machin  vcm  sa tuguegarao na nagkaaberya  iminungkah palitan  via michel acacio  barangay fm  tuguegarao
10,para sa mga ibobotong senador ngayong sana isama po sana natin silang apat  mga mah napatunayan  ang iluklok natin sa senado 
11,gma region tv bring comprehens coverag local area whole philippines  may  amp  eleksyon  relat inquiries  call help desk via mobil landline 
12,mga balotang gagamitin sa eleksyon sa pasay city  naihatid na sa citi hall  via mao dela cruz
13,mga nahul lumabag sa elect gun ban sa lungsod ng maynila  umabot na sa mahigit indibidw manila polic district  mpd   via
14,mga puli sa marikina city  sama samang nagbisikleta para sa mapayapang pagdarao ng eleksyon via
15,day more    but still hindi na magbabago yan  kesehodang survey yan basta ako kay parin  
16,day go elections may time ka pa mag research  check gamitin ang mga bonggang featur nito para ma makilala makilati ang mga kandidato ngayong eleksyon 
17,tatlong araw na panalangin para sa matiwasay mapayapang idarao ng simbahang katoliko 
18,good morn today  frontpag may news headlin last day elect campaign period  pray honest peac elect monday  may
19,pang  rodrigo duterte  iginiit na wala pa rin siyang ineendorsong kandidato sa paka pangulo  mga manggugulo sa binalaan 
20,mataa ang chanc na sponsored hoy nuell wag kang maglalagay ng dutert plate sa kots mo ha lol
21,suppli ng kuryent sa araw ng sa lunes  sapat  ayon sa
22,pink cult  lack decenc  amp  civility  desper  amp  idiot behavior 
23,lacson call  silent revolution     
24,support you i stan good peopl could lead nation honesti integrity  presid leni robredofor vp doc willi ong
25,ang anxieti ko ma malaki pa sa akin 
26,gentl reminder  today last day campaign folk
27,interesant sobr la prximaseleccion filipinas    
28,enjoy last day campaign dear socialites  goodluck laylayan
29,anyon know still possibl volunt  in precinct nearbi ones  monday  sign variou gdoc wait kind reply 
30,bilang ng mga rehistradong botant sa baguio city  tumaa ngayong eleksyon via mac tommi ariz  barangay fm  baguio
31,tahimik ang media dun sa nagpakamatay na uniteam supporter 
32,mga poll center sa lungsod ng maynila  bantay sarado ng mga tauhan ng manila polic district  mpd   via
33,day go elect vote right presid
34,told barrio chairman bohol offer k per famili vote incumb known dynasty  balilihan still th class municip despit chatto dynasty  decad long control town 
35,consular servic sa mga tanggapan ng sarado sa lunes  may araw ng eleksyon  via mao dela cruz
36,nation capit region polic offic  ncrpo   bumuo ng special investig task group na tututok sa mga kasong may kaugnayan sa election rel violence  via
37,consideration 
38,we r vote great respect certain politician believ run  humanitarian  causes if realli make stand  let human respect prevail differ polit views 
39,anyareee na   kakaloka  narinig niyo ba yung sinabi ng bystander   nakakatakot  dahil hindi gumana ang pabebeng nauwi na sa ganyan  kung basura nga hindi nyo malini ng ralli tapo gagamit pa ng apoy  grabee lang 
40,pang bayan sa abra  binabantayan ng pnp ngayong eleksyon bangued  dolor lagayan via arnel adriatico  cmn abra
41,libacao  aklan  isinailalim sa code orang ng dahil sa presensiya ng mga rebeldeng grupo  via jan allen ascano  super radyo kalibo
42,consideration 
43,kung si hitler nage filipino  pued rin manalong president ng anak niya dito sa pilipinas  sa tamang halaga  tamang kaalyado  mababago nila ang kasaysayan para mage pabor sa kanila at maniniwala ang tao sa kanila 
44,suppli ng kuryent sa lalawigan ng albay  tiniyak na sapat sa panahon ng eleksyon via rubi empig  barangay fm  legazpi
45,kapuso program guide  special program schedul  may     
46,isabela northern campaign trail via
47,sa feed ko puro for leni kiko  for bbm sara pero wala akong nakitang for filipino nation hindi ba bumoboto tayo para sa bayan natin let  vote wise come election let  vote one filipino nation 
48,mga manggagawang ina para sa sambayanang pilipino 
49,akap ng ina 
50,putspa 
51,ilang kalsada sa metro manila  isinara para bigyang daan ang idarao na mga mite de avanc ng ilang kumakandidato sa    
52,mga bibiyaheng probinsiya para bumoto sa nagsimula ng dumagsa sa mga termin ng bu paliparan    
53,pangulong duterte  nagbanta na ipapasok sa pinakamabahong piitan ang mga mahuhul manggugulo sa    
54,na bayan apat na lungsod  isinailalim sa comelec control dahil sa mga insident ng karahasan na may kinalaman sa    
55,repeat chorusa strong  brave  good  care filipinofilipino     i hope translat enough justice  post fb mani peopl like it  
56,bonu survey  cainta
57,bbm support commit suicid kakampink bulli them  pleas spread help get justic fredrick mark bico alba   screenshot post details 
58,itong para tayong nag handa sa isang pangmalakasang laban  nag isip ng todo  nag pagod  ibinuho ang sarili na para bang sasabak ka talaga sa giera sa isang life chang exam at sa kabila lahat ng pagod  pakiramdam ko hindi pa tayo handa 
59,
60,kailangan mong bayaran na excis tax kada isang litro ng gas  p     ayaw bayarang estat tax ni marco jr  p    billion
61,ayala anu ba 
62,let us respect other choices  polit break relationship  amp  friendships  coz end day  filipino afterall 
63,magnilay bomoto ayun sa kunsiyensya moralidad
64,
65,way mukamang dihang dapita  hahahahahahaha
66,oversea vote relat queri may email wdcpeov us org 
67,
68,
69,mahigit poll workers  itinalaga ng comelec na mag monitor magpatupad ng elect duti para sa
70,total unscientif survey 
71,kaya pala kahit anong recount ginawa nung fake clone machin ang nakalaba sa ibang city     isiwalat ang resibo    
72,
73,i m still amaz elect chang lot filipino can t help emot sinc first time i m wit strong urg real uniti ppl make countri whole again 
74,cannot convinc peraon vote candidate  let be 
75,stop use phrase  let educ you  
76,may could turn point point democraci  amp  war may mark th direct presidenti elect  amp  th anniversari    
77,may could turn point point democraci  amp   s war mark th direct presidenti elect  amp  th anniversari triumph nazi germani  great patriot war 
78,watch  buong pusong nangangako ang na iibigin nila ang tama magig totoo sa diwat serbisyo ngayong ikaw  ano ang panata mo para sa bayan 
79,
80,bigay na natin sa gma news  realli go elect coverage  ano kaya mga pasabog ng mga network sa darat na monday 
