,Unnamed: 0,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment,Cleaned
0,0,"@Arthurlongan @jhon_mcostani07 @smninews @lenirobredo owwww yeah how about you?Any other script aside from 'puppet'?It's overused because that's it.Or do you have nothing to rock because you can't call a thief?Btw or another milestone for the marcoses clan.The world knows ...

https://t.co/GKMI956XPF",0.066,0.0,0.934,0.4098,Positive,owwww yeah you ani script asid  puppet  it  overus that  it or noth rock can t call thief btw anoth mileston marcos clan th world know    
1,1,@Taehyung042619 @lenirobredo toxic,0.0,0.0,1.0,0.0,Neutral,toxic
2,2,"@BarryGutierrez3 Thank you sir.
Here we show that President Leni Robredo's administration is also",0.161,0.0,0.839,0.3612,Positive,thank sir her show presid leni robredo  administr also
3,3,"See Youuuu co-army to go to the De Avance meeting

#Lenikiko2022 #makatiispink #ayalaispink @lenirobredo",0.0,0.0,1.0,0.0,Neutral,see youuuu co armi go de avanc meet
4,4,Leni Robredo: The Woman Leading the Philippines' 'Pink Revolution' https://t.co/36AAWQMMF3,0.0,0.0,1.0,0.0,Neutral,leni robredo  woman lead philippines   pink revolution 
5,5,"Grabe !!!!No one has ever inspired us to genuinely care for our neighbors/strangers the way @lenirobredo has.

People in this group have been offering free rides to anyone who wants to join the rally later but has no transpo.

VOTE FOR LEADERS WHO BRING OUT THE GOOD IN US!https://t.co/XYPXRBBVV0",0.235,0.047,0.718,0.8825,Positive,grabe     no one ever inspir us genuin care neighbors strang way has peopl group offer free ride anyon want join ralli later transpo vot leader bring good us 
6,6,"Take a look at this map of the places that VP @lenirobredo has helped.#Receipts

https://t.co/K82ortnd6m

She is the leader I will vote for - someone who has been on the ground to hear the plight directly from the people but also inspired them to provide solutions.#Letlenilead https://t.co/GTMAB7MVI4",0.091,0.0,0.909,0.6486,Positive,take look map place vp helped     leader vote someon ground hear plight directli peopl also inspir provid solutions 
7,7,#DZRHBIASED Undertaking a soft campaign interview for Bongbong Marcos now that sounds like a valedictorian address without @lenirobredo participation.,0.135,0.0,0.865,0.3612,Positive,undertak soft campaign interview bongbong marco sound like valedictorian address without participation 
8,8,"#JusticeForFredalba Amateurs, it's an obvious ploy by Bibi-Im supporters to stop Leni Robredo.Don't fall for it, it's a trap.",0.129,0.201,0.67,-0.1531,Negative,amateurs  obviou ploy bibi im support stop leni robredo don t fall it  trap 
9,9,@jose_dot_ph @sotto_tito @lenirobredo @kikopangilinan you are told that bloated numbers of rallies ..,0.0,0.0,1.0,0.0,Neutral,told bloat number ralli   
10,10,Leni Robredo: The Woman Leading the Philippines' 'Pink Revolution' https://t.co/5A45B1Q83O,0.0,0.0,1.0,0.0,Neutral,leni robredo  woman lead philippines   pink revolution 
11,11,@juvenal_1990 @lenirobredo @kikopangilinan happy birthday.,0.481,0.0,0.519,0.5719,Positive,happi birthday 
12,12,@smninews @lenirobredo @kikopangilinan @COMELEC H2H is not over and now they are wasting time at the Comelec.😂😂,0.0,0.144,0.856,-0.4019,Negative,h h wast time comelec 
13,13,"Whatever the result of this election, we can't deny that Leni Robredo's term as VP is now the gold standard for the position.With less budget and no official mandate, she accomplished and helped a lot without any taint of corruption.No more blood-sucking spare tires, guys.",0.103,0.04,0.856,0.4588,Positive,whatev result election  can t deni leni robredo  term vp gold standard position with less budget offici mandate  accomplish help lot without taint corruption no blood suck spare tires  guys 
14,14,Leni Robredo: The Woman Leading The Philippines' 'Pink Revolution' https://t.co/RQHRKWQalo #News #feedly,0.0,0.0,1.0,0.0,Neutral,leni robredo  woman lead philippines   pink revolution 
15,15,"@inquiredotnet yes we will!And my president is Leni Robredo.
And the vice president ???Kiko Pangilinan!
 #Respectfully #Lenikiko2022",0.193,0.0,0.807,0.5892,Positive,ye will and presid leni robredo and vice presid    kiko pangilinan 
16,16,@Krisaquinoworld @lenirobredo hahahha in your dreams !!Marcos gonna win and the Marcos will return to Malacañang! 🤣,0.345,0.0,0.655,0.8114,Positive,hahahha dream   marco gonna win marco return malacaang 
17,17,To Leni Robredo: Don't you lie to yellow but you're hiding in pink?,0.0,0.189,0.811,-0.4215,Negative,leni robredo  lie yellow hide pink 
18,18,"Cry for @lenirobredo!🤧💗💗🌸🌺

We love you and we're always praying for your win madam president.Your win, is our country's win too.💗🌸🌺",0.504,0.085,0.411,0.9459,Positive,cri  we love we r alway pray win madam president your win  country  win too 
19,19,"""Any winner of the president, our lives are still the same.""But the video says otherwise.There is someone, finally, who reaches out to the people.Someone we can trust to never let us down and cater to our sentiments.Thank you @lenirobredo for being our hope.m",0.172,0.0,0.828,0.8074,Positive, ani winner president  live still same  but video say otherwise ther someone  finally  reach people someon trust never let us cater sentiments thank hope m
20,20,"Saw the video of VP @lenirobredo talking to a man with autism in Agusan del Sur and Ghorl, I have never stopped crying.Imagine, we were so used to the thought that politicians are untouchables that we think:",0.047,0.0,0.953,0.1695,Positive,saw video vp talk man autism agusan del sur ghorl  never stop crying imagine  use thought politician untouch think 
21,21,"I made gifs in support of @lenirobredo, @kikopangilinan & amp;Our fight for truth, change & amp;Hope.💖

#Swiftiesforlenikiko #armyforlenikiko #armyforleni #swiftiesforleni
#Makatiispink #Letlenilead #Ipanalona10to #Sefine Opening
#Taosataoparakayrobredo
#Taosataoparakaylenikiko https://t.co/dsskrq0bjq",0.169,0.088,0.743,0.34,Positive,made gif support ampur fight truth  chang amp hope  open
22,22,"For those people saying you're weak, no, you're not!With so much courage and strength you want us all to lift.Thank you, VP @lenirobredo 😭❤ We will win you, Sen Kiko because you are deserving and we also deserve a good leadership 🌷❤",0.277,0.094,0.629,0.8711,Positive,peopl say weak  no  not with much courag strength want us lift thank you  vp win you  sen kiko deserv also deserv good leadership
23,23,Those genuine and sincere eyes of yours VP @lenirobredo thank you po! 😭 Because of your hardwork and heart for the Filipinos that's the proof of how much deserving you are to be our next president.++,0.134,0.088,0.779,0.2244,Positive,genuin sincer eye vp thank po  hardwork heart filipino that  proof much deserv next president   
24,24,@ForgwenandBlake @lenirobredo virtual hugs to Mom/Grandma Lavinia.Please take care of her.💗🌸💐,0.416,0.0,0.584,0.7506,Positive,virtual hug mom grandma lavinia pleas take care her 
25,25,Good morning!One last stretch for @lenirobredo and @kikopangilinan !!!!Let's win this!💖,0.466,0.0,0.534,0.8346,Positive,good morning on last stretch     let  win this 
26,26,@Adriennevergara @lenirobredo @kikopangilinan @genshinimpact pulling for C6 years of leni-kiko leadership manifesting,0.0,0.0,1.0,0.0,Neutral,pull c  year leni kiko leadership manifest
27,27,"@Chiecastillo26 @bansoj @lenirobredo @ogiediaz @pokwang27 @net25tv @news5ph @abscbnnews @gmanews just me, water steward.
😁😂🤣",0.0,0.0,1.0,0.0,Neutral,me  water steward 
28,28,@tongietobes @tarrayofam @lenirobredo I know right!I feel that I have been collapsed,0.0,0.21,0.79,-0.3382,Negative,know right i feel collaps
29,29,"@Lenirobredo Naga, let's borrow Leni Robredo for six years.You're jealous, it's probably good to feel like Bicolano now.#Nagaispink",0.231,0.128,0.641,0.34,Positive,naga  let  borrow leni robredo six years you r jealous  probabl good feel like bicolano now 
30,30,@Aai_ceniza those toxic supporters seriously kill dictator communist your supporters,0.319,0.352,0.33,-0.1531,Negative,toxic support serious kill dictat communist support
31,31,Even if I can't go for 6 yrs just win Leni Robredo,0.297,0.0,0.703,0.5859,Positive,even can t go yr win leni robredo
32,32,"Valenzuela is pink!

Valenzuela City is known to be a ""Red City"" because of the Gatchalians.But last night, Valenzuelanos proved that on Monday ...

We will make a stand.@lenirobredo
@kikopangilinan @Aikarobredo
#ValpinkinYourarea
#Makatiispink
#IPANA7ona10PAREHALITAHAH",0.0,0.0,1.0,0.0,Neutral,valenzuela pink valenzuela citi known  red city  gatchalians but last night  valenzuelano prove monday    we make stand 
33,33,Hundreds are already gathered along Ayala Avenue for Leni Robredo's final campaign rally this evening (photo taken just before 6am) https://t.co/9s9sweygeb,0.0,0.0,1.0,0.0,Neutral,hundr alreadi gather along ayala avenu leni robredo  final campaign ralli even  photo taken am 
34,34,"I'm having major #sepanx just now, but the possibilities & amp;Opportunities of a @lenirobredo and @kikopangilinan leadership makes me more excited.I'm excited to say again, ""I'm a proud Filipino and I love the Philippines.""#IPANA10NATINPAREWALAHAL #Lenikikiko2022 #makatiispink",0.317,0.0,0.683,0.9379,Positive,i m major now  possibl amprtun leadership make excited i m excit say again   i m proud filipino love philippines  
35,35,#dzrhbiased @dzrh why did you create a soft campaign interview for Bong Bong Marcos today.Without VP @lenirobredo.BBM's Mother Campaign Broadcaster.Did you invite @lenirobredo for his side?,0.139,0.0,0.861,0.4019,Positive,creat soft campaign interview bong bong marco today without vp  bbm  mother campaign broadcaster did invit side 
36,36,"Our next president of the Republic of the Philippines is the one and the only pres.Leni Robredo.

Manifesting🙏🙏🙏",0.0,0.0,1.0,0.0,Neutral,next presid republ philippin one pres leni robredo manifest
37,37,@Lenirobredo means you are right there right away.😂😂😂,0.0,0.0,1.0,0.0,Neutral,mean right right away 
38,38,"Good luck with Pinas 😇

#Makatiispink #lenirobredo

https://t.co/PYKSS1Weil",0.541,0.0,0.459,0.7096,Positive,good luck pina    
