,0
0,presidenti aspir filipino want job they want anyon reach them     
1,undertak soft campaign interview bongbong marco sound like valedictorian address without participation 
2,presidenti aspir lot commit wto intern free trade agreements crisi let  give  the farmers  first fix system     
3,presidenti aspir next focu agricultur sector     farmer need organ coop reduc price product cost     
4,presidenti aspir small own businesses  let  go first pandemya close     give tax holiday first  collect tax    months     
5,help famili po file case th peopl right 
6,presidenti aspir employe msmes that  one sector need focu on th govern privat sector must partnership     
7,correct
8,anoth thing teach what bkit di nyo bulul y know it 
9,presidenti aspir ask people  unemploy expens good realli problematic     
10,anim defend
11,presidenti aspir problem philippin much politics mayb let  reduc that that  hindranc progress need do     
12,blue tick twitter seem mostli champion leni robredo philippin election  instinct feel bongbong marco presid must best rest world 
13,presidenti aspir long person capabl good  whatev sourc party   must includ improv economi life human life     
14,suprem court said marco famili ill gotten wealth if bongbong marco want bring back parent stolen  would thief 
15,tanga mo devil lanao  tawi tawi basilan   bobo leni vote thief 
16,tropo weep marcos  return palac
17,presidenti aspir  unity   person chosen  let  think good philippines everyth do  peopl groups al filipino need help    
18,bbm wear bullet proof vest it look like skinni    
19,presidenti aspir still middl crisi pandemya economi filipino need work together when polit over  set aside it take help everyon get up    
20,presidenti aspir call unity  seen recent years  polit peopl harass nation interest     
21,bongbong marco ime marco what   they could given back billion dollar famili stole marco years instead  kept it  imelda dying  cling picasso  rembrandt 
22,presidenti aspir schedul chang last day  of campaign  i never forget advic polit mentor we r alway run scare  even lead surveys     
23,el hijo del dictador ferdinand marcos   bongbong  marco jr   encabeza la opcion presid de filipinas 
24,hous major leader laka cmd presid martin romualdez see landslid victori bongbong marco sara dutert tandem
25,presidenti aspir encourag see good survey it say gap huge but get use to  vote yet     
26,tell courts  kakam copypaste not even presid interfer judiciary but troll like dont understand  you tsk     million peso still cannot buy comprehension or brain   
27,fool to 
28,presidenti aspir mayb approach elect day  pang alreadi announc informed dutert support is w uniteam administr side     
29,enter last day campaigning  ask stand truth justic elected 
30,useless  outdated  know bbm sue w sorri lie      close mind bbm th presid philippin      bongbong marco
31,pink idiot stop that  group signific
32,hahahah monkey ampota   
33,get away pink idiots y convert here 
34,nikki quiet life  y use again ar old enough lot time let light light thos want happi want them    
35,campaign period nation elect end today  presidenti candid ferdinand bongbong marco jr and run mate sara duterte carpio maintain comfort lead oppon latest pre elect survey read
36,besh     
37,pollster say who  vote  bongbong  marco next filipino president 
38,call voters  vigilc
39,said would run presid      ran bongbong marco running who  liar      super lier robredo  studi say  come back      nerv     veget
40,best win via landslid entir come vote mayebe  owner 
41,hahahah y guys in bbm dd chilax chilax percent filipino vote  bbm alreadi avail
42,yan na na yan girl 
43,still lead campaign  final turn
44,
45,look number may th block pre
46,vote you your famili stole people 
47,dame accusation  nyo nmn much noth means winn c bongbong marcos  deal it 
48,saw print result  let  go again leni sara result god forbid 
49,msm went ape smni abl interview gen palparan creepili silent went crappler interview de lima th philippin red road malacaangpresid bongbong marco
50,open vers today i pray ask sign holli spirit winner presid bongbong marco jr and good heart poor poor  said lord  give sign answer winners 
51,washingtonpost har power social media
52,flush that th philippin red road malacaangpresid bongbong marco
53,receipt  bongbong marco alway high drugs    nikki coseteng  former senat
54,marco senat  nikki coseteng senat togeth work  marit that 
55,
56,fyigood morning i hate deliv must know teenag commit suicid defend bulli kapampink
57,yes th philippin red
58,excit lead next presid sad time miss dad digong 
59, we declar clear sens final encourag support candidaci bongbong marco inday sara duterte  chairman nur misuari
60,close abs  bias oligarch
61,mayb yahuwah gave dream us young one call crazi build blockchain citi northern mountain area cordilleran prepar fire come th fire melt glacier flood more 
62, bongbong  marco jr pois presid philippin goe poll
63,madumb  cult breath elect day pina still start end  sir presid vice presid congratul advance 
64, bongbong  marco jr pois presid    
65,bongbong marcos  man attempt reviv corrupt polit dynasti
66,exactly ther mani exol support bongbong marcos i think suho would slap exol support candid liar  tax evader  convict criminal  fake diploma
67,ye po serious
68,heck    he know know bbm myghad well 
69,bongbong marco jr   son former dictator  lead polls har power social media blur line fact fiction  one philippines  despis famili rehabilit one revered 
70, bongbong  marco jr pois presid philippin goe poll
71,school project  happi agreement plan  signific output happi saturday 
72,girl  pray enlighten go church tomorrow ther still time check carefully yes  uniti uniti without plan countri direction 
73,togeth hang lol
74,edit summari
75,even though worri monday no matter coffe is  nervou monday philippines  bring even come too 
76,
77,tell blind supporters they super fanat tax evader  smh
78,bongbong marcos  man attempt reviv corrupt polit dynasti bbc news
79,wow gale naman solid bbm sarah 
80,good morn si korek ka dyan khit els throw bbm mere fact still vote countri dikada yellow new one awar peopl solud bbmsara thewin
81,i m laughing bongbong marco candidate  fem  please  argue  bbm  accomplishments  feel sorri others y look like fool  promise 
82,th presid philippines 
83,
84,close one elabor please 
85,seem like creat fake article  link anoth drama     i  includ filipino seek truth hop answered thank
86,die envi bbm 
87,bongbong marco think went bed do visit conscience 
88,ok thank ruin     bbmsara realli good behavior instead convinc clear     hahaha laugh you 
89,nicknam back day  ampaw      fri rice cake thought brain empty  that  bite it 
90,stop cup coffe    
91,know want educ time visit websit pcgg govern agenc purpos get ill gotten wealth marcosfamily 
92,pleas
93,heard includ parlor butcher land nominated it  glori love grief love y filipino  know 
94,popular person strength judg people  show case bongbong marco graft corrupt case  talent ugli complain 
95,  bongbong  marco win      said grandmoth ilocana mark word 
96,bbc news bongbong marcos  man attempt reviv corrupt polit dynasti
97,it and much mean bbm even marco prove accusation unless good knows you r irrelev whoever u are 
98,what  tri link moro conflict 
99,bongbong marco degree  special diploma 
100,that  true  lawmaker  entrap trap    mayb protector then do da drug too wrong time exposit   
101,ferdinand marco jr bongbong marcos th man attempt reviv corrupt polit dynasti
102,report review  lian buan bongbong marco via
103,elect sir pleas action happen make me 
104,presid philippin bong bong marco jr
105,na napara db kc alam na   
106,like that it fault chicken losing  still craan c bbm instead lift c porch 
107,desper ate  al think person speak president  pero wla still changed  they still surveys 
108,hope fool again 
109,old marites tsismosaaaaa     
110,korek dhang no matter destroy  bbm  vote still reduced set human mind  mulat cla true btw ung bet nyan na presidential  ever drug test elect may ahh 
111,
112,ent endor pres rodrigo duterte  sarah dutert bongbong marcos  us  hahahaha bright      good don t worri win go go go  bbm amparah
113,guy protect next presid mayb
114,pay niki coseteng say like bbm ignor
115,president  bongbong marcosvic president  sarah dutertesenatori candidates robin padillaalan cayetanojoel villanuevachiz escuderomigz zubiriharrey roquejinggoy estradajv ejercitoraffi tulfogibo teodorocibac partylist  bro eddi villanueva 
116,deserv good governance y deserv noth less becaus filipino mi vote bongbong marco sarah duterte 
117,mam nikki whatev els issu president  wla believ yellow ones th elect monday peopl alreadi made decision bbmsara chang unity 
118,au philippin may vote bongbong marco office  even though parent stole billion countri abc news
119,
120,let powta na cavit daw yan ni erap butch so senat like gossip 
121,
122,grabe said thief bbm immedi     oy pleas camp dropping 
123,better countri continu legaci pres duterte i herebi announce  mr bongbong marco presid along mayor inday sara dutert vp posit
124,rather tri explain big deal let  rather tri find answer question     think stori becom big deal thi broadcast abs cbn news interview peopl yet noth happened 
125,seen report review  lian buan bongbong marcos good luck nalang realli go elected  only  there  much media bia toward dilawans  fanat would thought otherwis via
126,amaz everywher go  meet someon support almost everyon meet supporter 
127,what  that doubl dead stop mania manang inherit  that  stupid  pay attention 
128,r  i  p ka bbm
129,report review  lian buan bongbong marco via
130,
131,justic victim fake news red tag
132,encourag uniteam offer one minut silenc meet de avanc later death student bulli polit belief led end life
133,bat naman sya maki regist me tsk get up  stupid 
134,report review  lian buan bongbong marco via
135,kapampink soo annoy lately i support marco guy alway bark result ar guy dumb see use dri run president if wouldnt even favorit win
136,great weekend democracy may us sanct instal chief execut hong kong one hors race th day son dictat ferdinand marco win philippin elect w duterte  daughter sara ticket 
137,bongbong marco  robredo leni  mi vote goe bbm let  win philippines 
138,     happi mother  day all  especi disgrac children i vote bongbong marcos  like post  sorri sorry 
139,see  blind
140,cri home watch live hahahhaha
141,ok let  assum high drug then what matter nikki coseteng ha peopl changed  still use drugs or mayb good father wife w go dark state life 
142,exactly talk politics  hear ferdinand marcos  son bongbong marco hope win presidenti elect philippines hi father butcher dictator no wonder local nervous 
143,marco make saln public  via
144,face never regist
145,larg globe palkiji keep track it 
146,bbm  follow million facebook  congratulations apo differ class bbm
147,aww dont feel sorri man in days  he  presid country th countri alreadi big problem prepare not silli nonsens distract come losers 
148,care see shade right number
149,vote leni woman  vote bc see leader 
150,bbm fight too don t kind kind also bounded y also fight supporters especi bad     pleas let cheat again 
151,parent want child  funeral but due toxic cultur camps  family  whole life take pain just bubully do succeed  
152,well unfortun     cositeng     expect     anti marco sinc  s     ay grandchild    
153,may let eagl fli tiger roar    win  
154,pretti probabl mum annoy hahaha unboth queen might die love
155,sorri see this it  problem graduate  lie it  ok 
156,yung na yun  kiko yun th leni so lower palm face 
157,
158,bongbong marcos  man attempt reviv corrupt polit dynasti
159,lostyou lostyou lostyou deceivedy deceivedy deceiv lie wagas 
160,told leav someth cheap ar go lose person twist just misunderstand might vote y piti funni
161,ahh oag c line pala kusnag mag binalang ok  attack headlin media outlet leni  wsp  fak rappler fund us     right this wow     huh     obviou    
162,
163,
