,0
0,owwww yeah you ani script asid  puppet  it  overus that  it or noth rock can t call thief btw anoth mileston marcos clan th world know    
1,toxic
2,thank sir her show presid leni robredo  administr also
3,see youuuu co armi go de avanc meet
4,leni robredo  woman lead philippines   pink revolution 
5,grabe     no one ever inspir us genuin care neighbors strang way has peopl group offer free ride anyon want join ralli later transpo vot leader bring good us 
6,take look map place vp helped     leader vote someon ground hear plight directli peopl also inspir provid solutions 
7,undertak soft campaign interview bongbong marco sound like valedictorian address without participation 
8,amateurs  obviou ploy bibi im support stop leni robredo don t fall it  trap 
9,told bloat number ralli   
10,leni robredo  woman lead philippines   pink revolution 
11,happi birthday 
12,h h wast time comelec 
13,whatev result election  can t deni leni robredo  term vp gold standard position with less budget offici mandate  accomplish help lot without taint corruption no blood suck spare tires  guys 
14,leni robredo  woman lead philippines   pink revolution 
15,ye will and presid leni robredo and vice presid    kiko pangilinan 
16,hahahha dream   marco gonna win marco return malacaang 
17,leni robredo  lie yellow hide pink 
18,cri  we love we r alway pray win madam president your win  country  win too 
19, ani winner president  live still same  but video say otherwise ther someone  finally  reach people someon trust never let us cater sentiments thank hope m
20,saw video vp talk man autism agusan del sur ghorl  never stop crying imagine  use thought politician untouch think 
21,made gif support ampur fight truth  chang amp hope  open
22,peopl say weak  no  not with much courag strength want us lift thank you  vp win you  sen kiko deserv also deserv good leadership
23,genuin sincer eye vp thank po  hardwork heart filipino that  proof much deserv next president   
24,virtual hug mom grandma lavinia pleas take care her 
25,good morning on last stretch     let  win this 
26,pull c  year leni kiko leadership manifest
27,me  water steward 
28,know right i feel collaps
29,naga  let  borrow leni robredo six years you r jealous  probabl good feel like bicolano now 
30,toxic support serious kill dictat communist support
31,even can t go yr win leni robredo
32,valenzuela pink valenzuela citi known  red city  gatchalians but last night  valenzuelano prove monday    we make stand 
33,hundr alreadi gather along ayala avenu leni robredo  final campaign ralli even  photo taken am 
34,i m major now  possibl amprtun leadership make excited i m excit say again   i m proud filipino love philippines  
35,creat soft campaign interview bong bong marco today without vp  bbm  mother campaign broadcaster did invit side 
36,next presid republ philippin one pres leni robredo manifest
37,mean right right away 
38,good luck pina    
39,vote elect go vp leni robredo 
40,hope saniti deliv help save live spiral abyss jusqlerd hope win     may    all primogems  resin  ascens materi well welkin bp ready ad astra abyssosque 
41,imong iro releas
42,leni robredo 
43,good day  maam pleas win next week th marco charg account country recov ill gotten wealth longer fund troll next campaign w believ reli you 
44,someon realli like eh mam end pila presidenr leni robredo queuectto piolo pascual
45,can t even tell follow learn respect choic others y equal liabl fred  suicide y st pid c nt may ferment h ll forever 
46,dae know san oragon    we win 
47,say goodby lenlen that  omen
48,leni robredo next president kiko pangilinan next vice president manifest claiming  life
49,say pink one rainbow  colors 
50,three tear   
51, i stand leni robredo 
52,interview nationwid lockdowns  iron cloth becom form relaxation     
53,mother side mariroc  tabaco  albay may wish grant vp i v done homework  husband isko 
54,realli like way stay step behind walk     give subtl yet clear messag respect  selflessness  support  partnership
55,k stand loser
56,come mam leni i ll deliv malacaang
57,took blind test top candid leni robredo 
58,philippin election  manila   liar begin till end   leni bongbong manila may vp leni robredo address crowdon may manila  philippines robredo hit back disinform marco camp brand bongbong liar 
59,
60,blue tick twitter seem mostli champion leni robredo philippin election  instinct feel bongbong marco presid must best rest world 
61,leni win
62,impress  s backer follows  usa communist  among others   see contradict right there mccarthi anyone if anything  jhonson  puppi reagan apo marcos  stop it 
63,good morning  ohay  nice morn moot  rp republ philippines  may robredo pangilinan  pra      president      vp 
64,presid leni robredo cuti
65,leni robredo oragon personifi
66,need help let  go  let  win this for pink open 
67,happi birthday sen  thank campaign vp sen  long live troops 
68,tell nasti support harass church chapel i thought learn guy rude 
69,makati
70,ingat go  s root yall 
71,good sign 
72,hahaha ayan receipt madumb
73,day go     leni robredo life
74,go don t blame hashtag spread hashtag suicide their ploy blame pink we r clicking 
75,kilig yarn 
76,galing lov grandma bing 
77,yan tayo eh ral nanaman blame
78,presid leni robredo vic presid kiko pangilinan 
79,although involv rallies h h meet de avanc vp acad reasons  still choos election 
80,vp sen birthday
81,leni robredo next week cuti
82,sir  lang  you part societi society just stand right righteou peopl like you 
83,heartbreak      bless us all  god bless philippin
84,religi group gather along ayala avenu philippines  financi district makati hour leni robredo set deliv speech final campaign ralli
85,vp sen  receipt nyo po  
86,day    prayer philippin elect lord  pleas let good amp qualifi peopl win presidenti amp vic presidenti seats let madam leni robredo ampir kiko pangilinan win thru intercess virgin mary claim jesu name  amen 
87,
88,watchre shad maguindanao fraud  leni robredo content ballots  nashedan   
89,welcom back philippin
90,sana di nyo nyo th crowd danger health w still need everi number vote
91,leni robredo left earth
92,would vote president i vpleni kaleody ask friend 
93,benefit import truli life  long life w win   
94,agre more envy  pikit 
95,can t go final meet de avanc tropang angat vote monday   let  win this 
96,enjoy watch actual    
97,tell courts  kakam copypaste not even presid interfer judiciary but troll like dont understand  you tsk     million peso still cannot buy comprehension or brain   
98,anupayannnn     
99,st  free photo op south korea nation  pick boy group exo  chanyeol ampuho nd a group senior citizen w  fairi headbands rd a group men collect trash heat sun th an arc welcom everyon
100,true  also campain tandem haha    that  show    life
101,presid leni robredo cuti
102,ritm po kayo 
103,sign affirm mam leni
104,enter last day campaigning  ask stand truth justic elected 
105,win lose  thank vp littl while  felt still good filipino and matter what  continu stand people 
106,pink would realli disrespect anyth leni robredo  candidaci without hesit candid number one role model pinks 
107,ate please  sing later written sand presid  s avanc meeting  opposit manila pen
108,good morning let  manifest univers vp leni  win soon presid leni robredo vp leni winvp leni winvp leni winvp leni winvp leni winvp leni  mananslovp leni win
109,presid colors let  win philippin leadership leni robredo    
110,dengue downhil downward platelet
111,
112,thank friend
113,leni robredo  woman lead philippines   pink revolution 
114,leni robredo  woman lead philippines   pink revolution 
115,vp mom  sorri maaaa it seem like vote committe
116,mayon volcano wave farewel good luck wave vp leni robredo sh win sh lead 
117,show leav bed mean want
118,vp win pl
119,bbm sara team
120,garap realli
121,yes now i m island palawan  found first came help
122,hahahah monkey ampota   
123,slept plural form curi singular exampl po i crush eleven o clock  tagalog  i slept pm  they shock be  tagalog  they slept side side 
124,energi
125,good morn po vp  mi mommy  birthday today i hope see greet hehe
126,pleas answer thank
127,question too  raybver cruz   who president 
