,Unnamed: 0,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment,Cleaned
0,0,"In the election held this year '22, in the #Philippines, @mannypacquiao can make a good president for the Philippines & amp;He will work finely with USA diplomacy.#Mannypacquiao is the embodiment of upward mobility through hard-work (skill) & amp;talent.He whoops ass!https://t.co/et4uacuh1q",0.081,0.0,0.919,0.4926,Positive,elect held year      make good presid philippin amp h work fine usa diplomacy  embodi upward mobil hard work  skill  amp talent h whoop ass 
1,1,Did @mannypacquiao join the #Beanz Fam!?WELCOME TO @AZUKIOFFICIAL FAM IDOL !!!🥹🥹,0.252,0.0,0.748,0.5216,Positive,join fam  welcom fam idol    
2,2,@Endlessjeopardy what is the wind blowing through Manny Pacquiao's teeth?,0.0,0.0,1.0,0.0,Neutral,wind blow manni pacquiao  teeth 
3,3,"@jedikristina @bagbongmarcos @ernieabella @iskomoreno @lenirobredo @leodymanguper @mannypacquiao @nbgonzalesph @iampinglacson @senleiladelima you tell that to the courts, kakam copypaste.Not even the President can interfere with the judiciary.But trolls like you just dont understand, do you?

tsk.800 million pesos and you still cannot buy comprehension.or a brain ..",0.054,0.0,0.946,0.3612,Positive,tell courts  kakam copypaste not even presid interfer judiciary but troll like dont understand  you tsk     million peso still cannot buy comprehension or brain   
4,4,"As we enter the last day of campaigning,
@bagbongmarcos @ernieabella @iskomoreno @lenirobredo @leodymagawoka @mannypacquiao @nbgonzalesph @iampinglacson, I ask you to stand for truth and justice #pledgestofreela @senleiladelima if elected.
#Phvote #Election2022 https://t.co/n5FTA2Kneq",0.164,0.0,0.836,0.6908,Positive,enter last day campaigning  ask stand truth justic elected 
5,5,Reporter’s Review: Aika Rey on Manny Pacquiao https://t.co/fg9ObwalkV via @youtube,0.0,0.0,1.0,0.0,Neutral,report review  aika rey manni pacquiao via
6,6,"Saul Canelo Alvarez in #Boxing Interview - ""Manny Pacquiao is a 'B-' Fighter"" @shosports: https://t.co/4th7up7Wyt @hboboxing",0.11,0.0,0.89,0.1531,Positive,saul canelo alvarez interview  manni pacquiao  b   fighter 
7,7,@Mannypacquiao yes love this ❤️,0.697,0.0,0.303,0.7845,Positive,ye love
8,8,@vorztoz,0.0,0.0,1.0,0.0,Neutral,
9,9,Maybe Yahuwah gave dreams to us young ones they call crazy to build a blockchain city in the northern mountainous area of Cordilleran preparing for the fire to come.The fire that melted the glacier for a flood and more?@bagbongmarcos @lenirobredo @mannypacquiao @iskomoreno,0.059,0.157,0.784,-0.5423,Negative,mayb yahuwah gave dream us young one call crazi build blockchain citi northern mountain area cordilleran prepar fire come th fire melt glacier flood more 
10,10,@Maamsyj @senleiladelima @mannypacquiao super bait ??attached to his driver who is his wife and son ??Is that your definition of super bait ???,0.294,0.0,0.706,0.8677,Positive,super bait   attach driver wife son   i definit super bait    
11,11,"My family is on my mom's side with Manny Pacquiao, on my dad's side with Isko while we and my nephews are on my dad's side with Leni 🤡",0.0,0.0,1.0,0.0,Neutral,famili mom  side manni pacquiao  dad  side isko nephew dad  side leni
12,12,"@Senleiladelima @mannypacquiao a little cold ma'am ,, the collaborators know that DU30 is leaving so they are just as good as the justice they have been throwing under Digong",0.195,0.0,0.805,0.743,Positive,littl cold ma am    collabor know du   leav good justic throw digong
13,13,@Senleiladelima @mannypacquiao is the act of acting. The evidence has reached 3dekada xerox still https://t.co/jqcmuh7g0j ka po. So you know what you did wrong.Mo Kai Aroyo,0.048,0.124,0.828,-0.4939,Negative,act acting  evid reach dekada xerox still ka po  know wrong mo kai aroyo
14,14,"Sen.Manny Pacquiao is ""amazed"" that the national government's outstanding debt went up to a new high of P 12.68 trillion and yet the Philippines ""lagged behind"" in its covid-19 response.|@Jmaurelioinq https://t.co/NZSE7SQXRR",0.115,0.135,0.749,0.0772,Positive,sen manni pacquiao  amazed  nation government  outstand debt went new high p trillion yet philippin  lag behind  covid    response  
15,15,@Hwaghwang @senleiladelima @mannypacquiao you watch the news of what he is doing with the bilibid😁😁😁,0.0,0.0,1.0,0.0,Neutral,watch news bilibid
16,16,"Just saw the #trailer for @jokoy
@eastersunday and I was hit with a Manny Pacquiao-flurry of emotions.
This looks so good and, to paraphrase one of the characters: I haven't see this many #Filipinos in one place ...
well .... outside of carson, ca at least
https://t.co/HBB9OKE6Sh",0.122,0.0,0.878,0.7042,Positive,saw hit manni pacquiao flurri emotions thi look good and  paraphras one characters  see mani one place    well      outsid carson  ca least
17,17,"Why TF would I put Manny Pacquiao's bday as my pin.

Relatability: 0%",0.0,0.0,1.0,0.0,Neutral,tf would put manni pacquiao  bday pin relatability 
18,18,Cebu campaign rally @sarahlahbati @mannypacquiao @RichardGutz @iloveruffag & amp;@jinkeepacquiao https://t.co/xcshqqqt03,0.0,0.0,1.0,0.0,Neutral,cebu campaign ralli amp 
19,19,"@2townsmik91 @mannypacquiao @senkokopimentel @barrygutierrez3 @Maroxas @marroxas2 @marroxas16 not your opinion but a statement.If it is not right to say and destroy the person then there is a penalty for the law.That's why fake news is increasing because they are not reported and punished.I think its time.When Mar Roxas suits, you will answer.https://t.co/zwyc2QI4LN",0.0,0.215,0.785,-0.9313,Negative,opinion statement if right say destroy person penalti law that  fake news increas report punished i think time when mar roxa suits  answer 
20,20,"❤️‍🔥🌱🌎🌲✊🙏🏻👼🏻🕯

#BathalangMayKal ✊🙏🏻🕯

#Solidpcquiaoandatienza

@Manny Pacquiao
@lito_atienza https://t.co/O4TGWW7WNZ",0.0,0.0,1.0,0.0,Neutral,pacquiao
21,21,"@Tvpatrol @mannypacquiao we admire your braveness, dedication and good intentions for the country, but we have to admit far from two leading.
If possible, consider giving way for Leni.We make sure that the whole country will benefit from the votes you can share with Leni.💗",0.334,0.0,0.666,0.952,Positive,admir braveness  dedic good intent country  admit far two leading if possible  consid give way leni w make sure whole countri benefit vote share leni 
22,22,I promise you nobody cares for Manny Pacquiao like that not even Jinkee,0.464,0.0,0.536,0.7783,Positive,promis nobodi care manni pacquiao like even jinke
23,23,The family gatherings when Manny Pacquiao was fighting & gt; & gt; & gt;,0.399,0.158,0.443,0.4215,Positive,famili gather manni pacquiao fight gt  gt  gt 
24,24,"Boset ka ahhahahahahaha woke my spirit ahahhahahaa

Lee seokmin, manny pacquiao variant hahahhahahahahahaaa",0.124,0.0,0.876,0.1779,Positive,boset ka ahhahahahahaha woke spirit ahahhahahaale seokmin  manni pacquiao variant hahahhahahahahahaaa
25,25,Not to shit on it but this is only gonna be funny to Filipino Americans who only know about 5 Tagalog words.Also we don't fuck with Manny Pacquiao anymore.,0.277,0.0,0.723,0.862,Positive,shit gonna funni filipino american know tagalog words also fuck manni pacquiao anymore 
26,26,"@jg17708 @senleiladelima @mannypacquiao ok ka lang?What if you or your family happened to be confined to you innocently, is it okay for you?",0.255,0.0,0.745,0.7059,Positive,ok ka lang what famili happen confin innocently  okay you 
27,27,"This weekend marks 10 years watching #boxing so here are some moments that occurred:

#Floydmayweather got a unanimous decision win over #mannypacquiao dubbed the fight of the century (5/2/15)

""",0.117,0.08,0.802,0.296,Positive,weekend mark year watch moment occurred  got unanim decis win dub fight centuri          
28,28,"This weekend marks 10 years watching #boxing so here are moments that occurred:

#Floydmayweather vs #miguelcotto (5/5/12)

1st fight between #timothybradley vs #mannypacquiao (6/9/12) #boxingisdead trended on #Twitter that night https://t.co/Q5RG0otu8r",0.0,0.08,0.92,-0.3818,Negative,weekend mark year watch moment occurred  vs          st fight vs          trend night
29,29,"@Luvstish @Lellebe Floyd had to cut prices for his fights against Logan Paul, Conor McGregor, the Maidana Rematch, and, GASP, even Manny Pacquiao!🙄 https://t.co/ji50cbqmko",0.0,0.188,0.812,-0.6239,Negative,floyd cut price fight logan paul  conor mcgregor  maidana rematch  and  gasp  even manni pacquiao 
30,30,@THEDANMCKINLEY @ken_stonger can you do one on Manny Pacquiao and Michael Jordan,0.0,0.0,1.0,0.0,Neutral,one manni pacquiao michael jordan
31,31,@pickupapainting @mannypacquiao truly amazing,0.77,0.0,0.23,0.7717,Positive,truli amaz
32,32,The man @mannypacquiao 's love 💕 Blessings's 🇵🇭🇵🇭 🥰🙏🏾🙏🏾💪🏽👊 https://t.co/yn40quvd1x,0.344,0.0,0.656,0.6369,Positive,man  s love blessings 
33,33,@Skysportsboxing Manny Pacquiao 👊🏼💥 He's just an absolute Gent Kind and Humble,0.236,0.0,0.764,0.5267,Positive,manni pacquiao he  absolut gent kind humbl
34,34,@Senleiladelima @mannypacquiao https://t.co/uk11b5g0uf,0.0,0.0,1.0,0.0,Neutral,
35,35,I'm really big on trusting the signs of the universe.I remember watching an interview with Floyd Mayweather talking about seeing moths regularly.He said when he was fighting Manny Pacquiao a moth flew onto Pacquiao's head during the fight.,0.07,0.121,0.808,-0.2815,Negative,i m realli big trust sign universe i rememb watch interview floyd mayweath talk see moth regularly h said fight manni pacquiao moth flew onto pacquiao  head fight 
36,36,"$ Ltnc as someone who knows Filipino politics, Manny Pacquiao has a better chance of becoming the President of the Lollypop Guild in never Neverland before he will ever become President of the Philippines.Who the F is going to listen to this blank shooting porn slinger?LMFAO https://t.co/S7PGRWZKNQ",0.104,0.0,0.896,0.5994,Positive,ltnc someon know filipino politics  manni pacquiao better chanc becom presid lollypop guild never neverland ever becom presid philippines who f go listen blank shoot porn slinger lmfao
37,37,just beat his ass call me manny pacquiao,0.0,0.333,0.667,-0.5423,Negative,beat ass call manni pacquiao
38,38,"An incredible thank you to @anasasiaphoto1 !!!!

#Mannypacquiao #TheFightingPrideofThePhilippines
#Pacman #boxing #pacquiao #thepeopleschamp",0.234,0.0,0.766,0.5673,Positive,incred thank     
39,39,Manny Pacquiao the President that we didn't know we neededau,0.0,0.0,1.0,0.0,Neutral,manni pacquiao presid know neededau
40,40,"@Nft_justin @The_Claymates @boredapeyc @artpunksnft what!?!?If you watch sports then you will agree your Cardano pick deserves a, ""C’mon man!""@Bosscatrc and if you don't like what I've got to say, ask @mannypacquiao about it !!!(Mic drop)",0.103,0.054,0.843,0.4438,Positive,what    if watch sport agre cardano pick deserv a   cmon man   like i v got say  ask     mic drop 
41,41,"Thank you for the cover @boxingnewsed !!!!!!!
#Mannypacquiao #LEGEND #PACMAN #ThePoSchamp #TheFightingPrideofThePhilippines",0.25,0.0,0.75,0.5673,Positive,thank cover        
42,42,@Skysportsboxing Tyson Fury and Manny Pacquiao,0.0,0.425,0.575,-0.5719,Negative,tyson furi manni pacquiao
43,43,"If you work hard in training, the fight is easy.- Manny Pacquiao",0.0,0.286,0.714,-0.4588,Negative,work hard training  fight easy   manni pacquiao
44,44,@Skysportsboxing senator @mannypacquiao because he inspires Asian people ❤,0.293,0.0,0.707,0.4404,Positive,senat inspir asian peopl
45,45,"""It's Manny Pacquiao's birthday.""
""Ah, the guy who can't beat Mayweather.""

Every Filipino Ass: 🤨😠👊🏻🥊🚩",0.0,0.2,0.8,-0.5423,Negative, it  manni pacquiao  birthday   ah  guy can t beat mayweather  everi filipino ass 
46,46,@programmersedge @mannypacquiao great idea,0.577,0.0,0.423,0.6249,Positive,great idea
47,47,#PACQUIAOATIENZA2022 staged the first of the two meeting de Avances in Cebu City.Sen Manny Pacquiao won in the province.https://t.co/vliuykjggx,0.171,0.0,0.829,0.5719,Positive,stage first two meet de avanc cebu city sen manni pacquiao province 
48,48,Do Fil-Aams know that Manny Pacquiao is homophobic and running for president and elections is in 3 days,0.0,0.0,1.0,0.0,Neutral,fil aam know manni pacquiao homophob run presid elect day
49,49,https://t.co/xeyeywqkto new highlights on my youtube channel 🥊 @mannypacquiao tsunami manny pacman pacquiao #boxinglegend #boxing #boxeo,0.0,0.0,1.0,0.0,Neutral,new highlight youtub channel tsunami manni pacman pacquiao
50,50,#FrontlineTonight |Promdi presidential bet Sen.Manny Pacquiao is his campaign through an avance meeting in Cebu Province.The senator grabbed some celebrities such as the Gutierrez family.#AsPilipino2022 |via @mongualvez https://t.co/Q21SF52Jiy,0.0,0.0,1.0,0.0,Neutral, promdi presidenti bet sen manni pacquiao campaign avanc meet cebu province th senat grab celebr gutierrez family   via
51,51,@cryptogreed_ pano boss greed pag manny pacquiao?,0.0,0.31,0.69,-0.4019,Negative,pano boss greed pag manni pacquiao 
52,52,For Sen.Manny Pacquiao: @wendellquijado,0.0,0.0,1.0,0.0,Neutral,sen manni pacquiao 
53,53,"@ecf08 @senleiladelima @mannypacquiao your reply sounds to me like you are 8 yrs old too 😘, so, we're even now🙄🤪🤭.I don't have candidate for President and I don't care who you vote for ... Wait, are you allowed to vote?",0.061,0.064,0.875,-0.033,Neutral,repli sound like yr old so  we r even now i candid presid care vote     wait  allow vote 
54,54,"@jg17708 @senleiladelima @mannypacquiao its obvious your reply mirror that of an 8 yr old.You dont know anything about governance (much less about legal stuff) and you have to accept that.If I tell you the Leody Guzman is the best candidate, you'll be probably bat an eye.But i'll go for leni",0.151,0.0,0.849,0.7918,Positive,obviou repli mirror yr old you dont know anyth govern  much less legal stuff  accept that if tell leodi guzman best candidate  probabl bat eye but i ll go leni
55,55,@Intelprophq @mannypacquiao @mpac_foundation https://t.co/tqe9c3auzp,0.0,0.0,1.0,0.0,Neutral,
56,56,@Scumandermovies Filipinos don't joke with Manny Pacquiao.😂🤣👏🏾👏🏾👏🏾,0.0,0.239,0.761,-0.2235,Negative,filipino joke manni pacquiao 
57,57,"The fact that Manny Pacquiao is actually a person and loves to help the poor.But, if that's his purpose for the president, I don't think he needs more.We can help others even if we don't run as a president.",0.216,0.0,0.784,0.8442,Positive,fact manni pacquiao actual person love help poor but  that  purpos president  think need more w help other even run president 
58,58,@Intelprophq @82_USJAMS @mannypacquiao @mpac_foundation https://t.co/O4ReMKBBOM,0.0,0.0,1.0,0.0,Neutral,
59,59,LOOK: Pres'l aspirant Senator Manny Pacquiao holds his meeting de avance in Cebu on Friday night.This is one of his 2 meetings de avances to be held before the campaign period ends.📸: Team Pacquiao |via @MBBEPPEDRAJAS https://t.co/TBWPRFXSGR,0.0,0.0,1.0,0.0,Neutral,look  pres l aspir senat manni pacquiao hold meet de avanc cebu friday night thi one meet de avanc held campaign period ends   team pacquiao  via
60,60,"Are the files living in the 2010s?Because that's the only way they can defend that lame Manny Pacquiao crack.

Hope the trailer was just badly cut and that there's actually satirical social commentary somewhere in the film, instead of just a spot the Pinoy reference game.",0.056,0.154,0.79,-0.6249,Negative,file live s becaus that  way defend lame manni pacquiao crack hop trailer badli cut there  actual satir social commentari somewher film  instead spot pinoy refer game 
61,61,"@Senleiladelima @mannypacquiao dasurv mo yan te dpat na disbar you already, imagine morality wise became your driver of your married driver.We will pray that you will be at peace in jail so that you can have peace there, goodluck",0.262,0.0,0.738,0.9081,Positive,dasurv mo yan te dpat na disbar already  imagin moral wise becam driver marri driver w pray peac jail peac there  goodluck
62,62,"Just in: Manny Pacquiao is in Cebu City in the first of two meeting de avance rallies.

He claimed around 30 million people had filled out the housing forms that his camp distributed.https://t.co/rehpckesgw",0.0,0.0,1.0,0.0,Neutral,in  manni pacquiao cebu citi first two meet de avanc rallies h claim around million peopl fill hous form camp distributed 
63,63,Manny Pacquiao Respect,0.608,0.0,0.392,0.4767,Positive,manni pacquiao respect
64,64,whoever wrote the manny pacquiao line .... https://t.co/QWQQVI0V04,0.0,0.0,1.0,0.0,Neutral,whoever wrote manni pacquiao line     
65,65,"@ecf08 @senleiladelima @mannypacquiao am not, just so happen that I agree with how PRRD govern and so happy that delama is in jail and will be rotten in there, satisfied?",0.267,0.085,0.648,0.7909,Positive,not  happen agre prrd govern happi delama jail rotten there  satisfied 
66,66,"Look |Cebu Vote: Presidential aspirant Manny Pacquiao raises his fists as confetti falls during his campaign rally in Cebu City three days before election day.Police estimate the crowd at 3,500.|Via Aldo Banaynal #TheFreeMan #Cebuvote https://t.co/SFMLZH38ow",0.0,0.0,1.0,0.0,Neutral,look  cebu vote  presidenti aspir manni pacquiao rais fist confetti fall campaign ralli cebu citi three day elect day polic estim crowd   via aldo banayn
