,Unnamed: 0,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment,Cleaned
0,0,"@bagbongMarcos Presidential aspirant @bagbongmarcos: What Filipinos want is that they have a job.They don't want anyone to reach them.#Decision2022 #SamasAstoPilipino

https://t.co/trvyxdg3AZ",0.179,0.0,0.821,0.1779,Positive,presidenti aspir filipino want job they want anyon reach them     
1,1,#DZRHBIASED Undertaking a soft campaign interview for Bongbong Marcos now that sounds like a valedictorian address without @lenirobredo participation.,0.135,0.0,0.865,0.3612,Positive,undertak soft campaign interview bongbong marco sound like valedictorian address without participation 
2,2,"@bagbongMarcos Presidential Aspirant @bongbongMarcos: We have a lot of commitment to the WTO and international free trade agreements.Crisis now so let's give [the farmers] first and fix the system.#Decision2022 #SamasAstoPilipino

https://t.co/trvyxdg3AZ",0.174,0.0,0.826,0.7096,Positive,presidenti aspir lot commit wto intern free trade agreements crisi let  give  the farmers  first fix system     
3,3,"@bagbongMarcos Presidential aspirant @bagbongmarcos: Next to focus on the agricultural sector ... Farmers need to be organized in Coop to reduce the price of production cost.#Decision2022 #SamasAstoPilipino

https://t.co/trvyxdg3AZ",0.0,0.0,1.0,0.0,Neutral,presidenti aspir next focu agricultur sector     farmer need organ coop reduc price product cost     
4,4,"@bagbongMarcos Presidential aspirant @bagbongmarcos: The small-owned businesses, let's go first because they have a pandemya and they closed ... give a tax holiday first, don't collection of taxes for 3-6 months.#Decision2022 #SamasAstoPilipino

https://t.co/trvyxdg3AZ",0.083,0.0,0.917,0.4019,Positive,presidenti aspir small own businesses  let  go first pandemya close     give tax holiday first  collect tax    months     
5,5,@curiosity2022 @senimeemarcos @bagbongmarcos @sandromarcos7 help the family po to file a case.The people are not right.,0.14,0.187,0.674,-0.2263,Negative,help famili po file case th peopl right 
6,6,"@bagbongmarcos presidential aspirant @bagbongmarcos: 62% of our employees are in msmes.That's one of the sectors we need to focus on.The government and private sector must have partnership.#Decision2022 #SamasAstoPilipino

https://t.co/trvyxdg3AZ",0.0,0.0,1.0,0.0,Neutral,presidenti aspir employe msmes that  one sector need focu on th govern privat sector must partnership     
7,7,@dzrhnews @bagbongmarcos correct,0.0,0.0,1.0,0.0,Neutral,correct
8,8,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 Another thing to teach you what?bkit di nyo bulul!You know it!,0.0,0.0,1.0,0.0,Neutral,anoth thing teach what bkit di nyo bulul y know it 
9,9,"@bagbongMarcos Presidential aspirant @bagbongmarcos: When we ask people, unemployment and expensive goods are really problematic.#Decision2022 #SamasAstoPilipino

https://t.co/trvyxdg3AZ",0.0,0.153,0.847,-0.4404,Negative,presidenti aspir ask people  unemploy expens good realli problematic     
10,10,@Akosititomarco Animal Defend,0.0,0.0,1.0,0.0,Neutral,anim defend
11,11,"@bagbongMarcos Presidential aspirant @bagbongmarcos: The problem in the Philippines is too much politics.Maybe let's reduce that.That's a hindrance to progress and what we need to do.#Decision2022 #SamasAstoPilipino

https://t.co/trvyxdg3AZ",0.087,0.168,0.745,-0.3818,Negative,presidenti aspir problem philippin much politics mayb let  reduc that that  hindranc progress need do     
12,12,"Blue-Tick Twitter seems to be mostly championing Leni Robredo in the Philippines election, so I instinctively feel a Bongbong Marcos presidency must be best for the rest of the world.",0.212,0.0,0.788,0.7906,Positive,blue tick twitter seem mostli champion leni robredo philippin election  instinct feel bongbong marco presid must best rest world 
13,13,"@bagbongMarcos Presidential aspirant @bagbongMarcos: As long as a person is capable and good [whatever the source party], we must include to improve the economy and life of the human life.#Decision2022 #SamasAstoPilipino

https://t.co/trvyxdg3AZ",0.231,0.0,0.769,0.8126,Positive,presidenti aspir long person capabl good  whatev sourc party   must includ improv economi life human life     
14,14,"Supreme Court said the Marcos family had an ill-gotten wealth.If Bongbong Marcos did not want to bring back what his parents had stolen, he would have been a thief.",0.102,0.221,0.678,-0.4976,Negative,suprem court said marco famili ill gotten wealth if bongbong marco want bring back parent stolen  would thief 
15,15,"@wicket_wicked @bagbongmarcos tanga mo!Devil to Lanao, Tawi Tawi and Basilan !!BOBO!Leni vote thief!",0.0,0.276,0.724,-0.6776,Negative,tanga mo devil lanao  tawi tawi basilan   bobo leni vote thief 
16,16,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 TROPOs weeping for Marcos' return to the Palace 😂😂😂,0.0,0.195,0.805,-0.4404,Negative,tropo weep marcos  return palac
17,17,"@bagbongMarcos Presidential aspirant @bangbongmarcos in 'Unity': Once a person has chosen, let's think about what good is the Philippines.Everything we do, not just a few people or groups.All Filipinos need help.#Decision2022

https://t.co/trvyxdg3AZ",0.091,0.0,0.909,0.4404,Positive,presidenti aspir  unity   person chosen  let  think good philippines everyth do  peopl groups al filipino need help    
18,18,@marksy74055418 @iamwhatiam300 @mj__mondejar @bagbongmarcos @indaysara @smninews @dzar1026 Does BBM wear bullet proof vest?It looks like skinny again ...,0.128,0.0,0.872,0.3612,Positive,bbm wear bullet proof vest it look like skinni    
19,19,"@bagbongMarcos Presidential aspirant @bagbongmarcos: We are still in the middle of the crisis of pandemya and economy so all Filipinos need to work together.When politics is over, it will be set aside.It takes the help of everyone to get up.#Decision2022

https://t.co/trvyxdg3AZ",0.059,0.09,0.852,-0.34,Negative,presidenti aspir still middl crisi pandemya economi filipino need work together when polit over  set aside it take help everyon get up    
20,20,"@bagbongMarcos Presidential Aspirant @bagbongMarcos In the Call of Unity: I have seen in recent years, politics or people have been harassing national interest.#Decision2022 #SamasAstoPilipino

https://t.co/trvyxdg3AZ",0.0,0.132,0.868,-0.5423,Negative,presidenti aspir call unity  seen recent years  polit peopl harass nation interest     
21,21,"Bongbong Marcos is 64, Imee Marcos is what, 80?They could have given back the $ 10 billion dollars their family stole during the Marcos years.
Instead, they kept it, Imelda is Dying, but she is clinging to a Picasso, a rembrandt, #bongMarcos",0.0,0.0,1.0,0.0,Neutral,bongbong marco ime marco what   they could given back billion dollar famili stole marco years instead  kept it  imelda dying  cling picasso  rembrandt 
22,22,"@bagbongMarcos Presidential Aspirant @bagbongMarcos: My schedule has not changed until the last day [of the campaign].I will never forget the advice of political mentors that we're always running scared [even leading the surveys].#Decision2022

https://t.co/trvyxdg3AZ",0.046,0.079,0.875,-0.3036,Negative,presidenti aspir schedul chang last day  of campaign  i never forget advic polit mentor we r alway run scare  even lead surveys     
23,23,"#Video El Hijo del Dictador Ferdinand Marcos, 'Bongbong' Marcos Jr., Encabeza Las Opciones a President de Filipinas.

https://t.co/x7JOSV6RWF",0.0,0.0,1.0,0.0,Neutral,el hijo del dictador ferdinand marcos   bongbong  marco jr   encabeza la opcion presid de filipinas 
24,24,House Majority Leader and Lakas - CMD President Martin Romualdez Sees Landslide Victory of Bongbong Marcos and Sara Duterte Tandem #AsPilipino2022 @PhilipPinestar https://t.co/1kvivnotuy,0.0,0.0,1.0,0.0,Neutral,hous major leader laka cmd presid martin romualdez see landslid victori bongbong marco sara dutert tandem
25,25,"@bagbongMarcos Presidential aspirant @bagbongmarcos: Very encouraging when I see a good survey.It says the gap is huge.But as I get used to, it's not a vote yet.#Decision2022 #SamasAstoPilipino

https://t.co/trvyxdg3AZ",0.223,0.0,0.777,0.7645,Positive,presidenti aspir encourag see good survey it say gap huge but get use to  vote yet     
26,26,"@jedikristina @bagbongmarcos @ernieabella @iskomoreno @lenirobredo @leodymanguper @mannypacquiao @nbgonzalesph @iampinglacson @senleiladelima you tell that to the courts, kakam copypaste.Not even the President can interfere with the judiciary.But trolls like you just dont understand, do you?

tsk.800 million pesos and you still cannot buy comprehension.or a brain ..",0.054,0.0,0.946,0.3612,Positive,tell courts  kakam copypaste not even presid interfer judiciary but troll like dont understand  you tsk     million peso still cannot buy comprehension or brain   
27,27,@bagbongmarcos @rockyma46760498 @rrd_davao @smninews @rapplerdotcom @sandromarcos7 fool to?,0.0,0.293,0.707,-0.4404,Negative,fool to 
28,28,"PRESIDENTIAL ASPIRANT @bagbongMarcos: Maybe because we are approaching election day, Pang has already announced and informed.Duterte where his support is.We in Uniteam are on the administration side.#Decision2022 #SamasAstoPilipino

https://t.co/trvyxdg3AZ https://t.co/ehrsy3ook1",0.085,0.0,0.915,0.4019,Positive,presidenti aspir mayb approach elect day  pang alreadi announc informed dutert support is w uniteam administr side     
29,29,"As we enter the last day of campaigning,
@bagbongmarcos @ernieabella @iskomoreno @lenirobredo @leodymagawoka @mannypacquiao @nbgonzalesph @iampinglacson, I ask you to stand for truth and justice #pledgestofreela @senleiladelima if elected.
#Phvote #Election2022 https://t.co/n5FTA2Kneq",0.164,0.0,0.836,0.6908,Positive,enter last day campaigning  ask stand truth justic elected 
30,30,"Because you are useless, you are outdated, you know what it is just for BBM to sue.We are so sorry for your lies .... close to our mind Bbm will be our 17th President of the Philippines .... Bongbong just Marcos",0.0,0.162,0.838,-0.7462,Negative,useless  outdated  know bbm sue w sorri lie      close mind bbm th presid philippin      bongbong marco
31,31,"@imumay @kylaadeleon1 @bagbongmarcos @sandromarcos7 pink idiot stop that, as if your group has significance 😏 https://t.co/hxeqkf2bya",0.107,0.281,0.612,-0.5267,Negative,pink idiot stop that  group signific
32,32,@MahalDelmundo @dzrh5 @bagbongmarcos @indaysara @dzrhnews @lenirobredo @kikopangilinan @comelec hahahah!Monkey ampota !!,0.0,0.0,1.0,0.0,Neutral,hahahah monkey ampota   
33,33,@imumay @kylaadeleon1 @bagbongmarcos @sandromarcos7 get away here pink idiots!You have no convert here!https://t.co/ze1US8PSOO,0.0,0.188,0.812,-0.4184,Negative,get away pink idiots y convert here 
34,34,@Moniqu3n @josesteii @bangbongmarcos @senimeemarcos @sandromarcos7 Which Nikki is your quiet life..you can use it again?Are you old enough to have a lot of time?Let the lights be the light.Those are those who don't want to be happy they just want them. !!,0.103,0.054,0.843,0.6369,Positive,nikki quiet life  y use again ar old enough lot time let light light thos want happi want them    
35,35,"As the campaign period for the national elections ends today, presidential candidate Ferdinand “Bongbong” Marcos Jr.and his running mate Sara Duterte-Carpio maintained a comfortable lead over their opponents in the latest pre-election survey-

Read more👇
https://t.co/EQFLFPLPL4NQ https://t.co/5NQDquiyuv",0.086,0.0,0.914,0.5106,Positive,campaign period nation elect end today  presidenti candid ferdinand bongbong marco jr and run mate sara duterte carpio maintain comfort lead oppon latest pre elect survey read
36,36,@Akosititomarco what is it again to besh ????@bagbongmarcos,0.0,0.0,1.0,0.0,Neutral,besh     
37,37,What the pollsters say about who's voting for 'Bongbong' Marcos to be the next Filipino president.https://t.co/vx5a9a86ok,0.0,0.0,1.0,0.0,Neutral,pollster say who  vote  bongbong  marco next filipino president 
38,38,@bagbongMarcos Calls for Voters' Vigilce https://t.co/ftkldu71TX,0.0,0.0,1.0,0.0,Neutral,call voters  vigilc
