,0
0,feed  full of for leni kiko  for bbm sara  but see for filipino nation  vote people let  vote wise come election let  vote one filipino nation 
1,mother worker filipino people 
2,peopl parti central shout support leni furthermore  bar emphas peopl vote wisely ther hope 
3,control train mind stronger emotions 
4,end day  vote best judgment rememb candid applic judg fairly pleas respect other  decis want support everyon entitl opinion   
5,chang people  mind tell peopl better them but encourag better peopl set good exampl ourselves let  love philippin anymore let  inspir other 
6,nice much new vlog volum learn   no bia pramis watch na    
7,may god help us guid better future 
8,pleas feel share w english tagalog version already thank ayi jan kapampink realli different  cost
9,what  go please 
10,interest discuss happen election join next pc webinar   anyare  post elect analysis  moder  regist here 
11,can t choos two should choos seriou one naughti one 
12,vote agre radic chang comfort life filipino workers thank ongo fight classmates 
13,philippin stranger tireless youth participation  especi democraci stake     
14,vote wise    
15,protect vote     
16,presidenti candid isko moreno hold meet de avanc tondo saturday     
17,first elect pandemic ar readi cast vote 
18,get reward part 
19,atm  critic points  reflect rhetor dimens philippin elect    may     pmwatch here 
20,know th philippin commiss elect permit coin flip way decid tie votes 
21,month fierc campaigning     
22,height election i tear sudden th size dependent r talk it hard love still lose hope 
23,presidenti candid leni robredo messag anxiou story 
24, pedagogi amp  desir presidency at long last  educ sector shaken mediocr liber use promot long stand bias within ph 
25,martial law victim fear horror marcos  rule would diminish son win presid    
26, anxiou leni  among mani catchphras use social media support robredo     
27,
28,vote go mall may
29,make sure check design prioriti lane accommod senior citizens  pregnant women pwd efficiently 
30,marco campaign use simpl slogan uniti frame beyond polit disagreements  amp  next monday  philippin elect    
31,loren legarda speak practic simpl habit mitig climat chang
32,xian gaza friday embrac  marites  titl ad frame facebook profil pictur support tandem     
33,filipino report incid vote buy comelec  task forc give    
34,govern position  power money  that  main reason run elections y know are 
35,carri cellphon prohibit photograph strictli forbidden make copi ballot way use buy sell vote 
36,philippin todaylitician treat like ancient gods shit 
37,choos wisely 
38,remind may electionslet  exercis right suffrag vote wisely 
39,wast vote car read instruct ballot submit it 
40,wast vote car read instruct ballot submit it 
41,day th webinar nation forum commun democraci anyare post elect analysis  moder  register 
42,interest discuss happen election join next pc webinar   anyare  post elect analysis  moder  regist here 
43,day philippin elect  your vote matters b inform import detail avoid voter suppression y visit
44,hometown folk caravan  belov mayor am th best morn alway burley 
45,futur hope for a futur fight for 
46,this 
47,lot member question faith cuz current administration there  lot  cold  slowli leaving a lot member hypocrites so worri endorsement not everyon follow lol 
48,vote wise everyone 
49,enha relat post i v seen facebook bbm sara tandem realli worst all thi sad hardwork teacher serv may elect anxieti again vot wise ppl 
50,stress reliever  unfriend unithiev fb friends 
51,keep see post children disrespecting  even curs parent differ polit beliefs thi election  like issu news  pass  disrespect forgotten 
52,
53,philippin vote  marco seen pro china robredo like test beij tie via    
54,loren legarda  talk child 
55,
56,priest use social media preach word god virtu prefer candid one divis elections     
57,we r home stretch now what next
58,wrong download twitter support malaima mi tl full polit twt it  toxic speci peopl rude other coz share polit stancecan boys 
59,icymi  lorenzo legarda levist said left choic publicli state  absolut disgusted  mother loren legarda  choic
